"CANCELED","ROW_WID","ACCNT_LOC","ARPU","SES","HOME_PASSED","CUST_SINCE_DT","MONTHS_AGE","CANCEL_DT","CITY","POP"
0,1368769675,"4341337",302.04,"D",2376,23-JUN-17,2.44,"","MONCLOVA","MC"
0,1369735207,"4341343",371.67,"D",325,26-JUN-17,2.34,"","MONCLOVA","MC"
0,1369735208,"4341372",278.6,"D",489,24-JUN-17,2.41,"","MONCLOVA","MC"
0,1339824063,"4338319",252.02,"D",1813,05-JUN-17,3.02,"","MONCLOVA","MC"
0,1339824064,"4338323",438.39,"D",1813,05-JUN-17,3.02,"","MONCLOVA","MC"
0,1370037750,"4341449",318.89,"D",387,26-JUN-17,2.34,"","MONCLOVA","MC"
0,1339824065,"4338312",402.98,"D+",679,01-JUN-17,3.15,"","MONCLOVA","MC"
0,1368769680,"4341340",384.51,"C",1306,24-JUN-17,2.41,"","MONCLOVA","MC"
0,1370037756,"4341457",332.44,"D",876,27-JUN-17,2.31,"","MONCLOVA","MC"
0,1370037757,"4341462",363,"D",536,06-JUL-17,2,"","MONCLOVA","MC"
0,1370037758,"4341464",307.1,"C",767,26-JUL-17,1.35,"","MONCLOVA","MC"
0,1370037801,"4341463",371,"D",941,04-JUL-17,2.08,"","MONCLOVA","MC"
0,1370037802,"4341467",379.11,"D+",236,27-JUN-17,2.31,"","MONCLOVA","MC"
0,1368769785,"4341344",408.33,"B",305,26-JUN-17,2.35,"","MONCLOVA","MC"
0,1368769786,"4341345",357.5,"D",2376,07-JUL-17,1.96,"","MONCLOVA","MC"
0,1368769787,"4341348",337.85,"D",2376,24-JUN-17,2.41,"","MONCLOVA","MC"
0,1370037906,"4341470",361.18,"D",2376,24-JUN-17,2.4,"","MONCLOVA","MC"
0,1370038103,"4341489",385,"B",909,26-JUN-17,2.34,"","MONCLOVA","MC"
0,1368769892,"4341349",384.09,"D+",679,24-JUN-17,2.41,"","MONCLOVA","MC"
0,1368769894,"4341350",402.44,"D+",236,27-JUN-17,2.31,"","MONCLOVA","MC"
0,1368769895,"4341355",355.78,"D",536,27-JUN-17,2.31,"","MONCLOVA","MC"
0,659792399,"4211522",626.94,"C",3439,11-NOV-15,21.83,"","MONCLOVA","MC"
0,1368769896,"4341353",368.5,"B",909,12-JUL-17,1.79,"","MONCLOVA","MC"
0,1368769997,"4341358",337.85,"C",568,24-JUN-17,2.41,"","MONCLOVA","MC"
0,1370039262,"4341444",292.44,"D+",868,27-JUN-17,2.32,"","MONCLOVA","MC"
