"CUSTOMER_WID","INBOUND_CALLS_NUM"
307585531,7
307578299,1
307581371,11
307587034,12
307582791,5
307576185,1
311623623,8
307582618,1
307581945,2
307576193,10
307578239,5
307578755,18
307581728,1
307575488,7
307582717,3
307578129,30
307578614,2
307580910,30
307577062,16
307583361,1
307583985,1
307578598,7
307577042,5
307576653,10
307577064,6
307578368,10
307586974,7
307576454,3
307586825,5
307579770,10
307580895,6
307575859,11
307577776,23
307583501,16
307585003,2
307586841,1
307578762,28
307587144,2
309126228,2
307586606,19
307574973,2
307586316,9
307580444,11
316617060,3
307582376,3
307583749,3
307577804,21
327486670,11
307578161,8
307578558,19
307582630,2
307584517,17
307581836,5
307577261,8
307587009,16
307575824,3
307584017,18
307585399,5
331693455,1
307580780,19
307584974,11
307576125,1
332539672,2
307586668,43
333394220,11
307577762,11
307584325,16
307575302,3
333394865,3
307580107,6
328330840,4
307578808,28
307583675,1
307580630,1
307582158,1
307586029,11
307578643,5
339355352,6
307581528,2
307580166,37
307580857,1
307577648,3
307579131,13
307583261,11
307585298,1
339355240,4
307583096,2
307580885,6
307575812,1
307585771,2
307575334,1
307582093,19
307587117,1
307583578,40
307581834,5
307576148,1
307577248,2
307578206,10
307579610,5
307576551,4
348730146,6
307575382,1
307579850,23
307582982,15
307585808,3
307582264,1
307584123,27
307583011,2
307577101,5
307582574,1
324136566,5
307585222,12
307586797,6
307575960,2
307580032,11
312450911,1
307577280,1
307577656,3
373705630,11
307582099,2
307587376,9
307587201,2
347029276,2
307580178,3
307582108,23
392137419,9
307575613,14
307576100,5
307581886,4
307593338,14
307577807,2
345324675,5
307593343,1
383344849,35
385100831,3
307579866,1
307581031,24
307577963,26
307586577,2
307581197,10
307578837,1
307584714,16
307583467,1
307586281,5
307575661,2
384223983,1
307581146,2
307587217,2
307583122,2
307580321,1
307576651,1
402762290,25
399211503,9
404545916,7
307587138,3
307582929,23
307579727,2
307586034,1
307579876,4
307587298,1
307575596,5
307582841,5
397435754,5
395664183,1
417085252,34
307586494,5
307577690,2
307577420,2
332539388,5
307585275,13
415293795,1
307584893,4
307578015,1
426140477,23
307582146,1
307581578,6
307576089,64
327486117,10
438002465,1
307578430,8
307575689,2
307583907,1
404545982,8
307574572,9
307582456,13
307574410,1
307593541,8
397435753,29
307579041,2
440756750,2
444434055,3
307583909,2
307582154,1
443513785,3
307587194,1
441676030,1
411704430,3
307578294,2
307579822,3
445352384,10
307581266,10
423425964,3
307581234,2
461114859,15
307579264,7
307581191,3
394781411,13
307582345,2
462978622,9
307587365,4
475146435,2
307586233,10
453672156,1
307580432,17
385979606,1
327485589,5
307581492,19
307579925,1
307578502,12
307575520,7
307578086,5
387736090,1
466435974,1
486136770,1
436164821,1
307586405,3
307578147,8
307584903,3
486496181,6
398323677,1
307578810,6
483285022,1
484350075,2
307584458,1
497540575,4
473256944,7
499019872,60
307578506,4
307585969,1
307586816,7
307580999,3
307593427,10
453672213,3
490024992,2
307580676,1
500944802,1
499019738,10
504802675,5
307582454,3
480532860,2
505791552,3
495120578,9
497032524,1
470434635,18
498947640,13
307582394,2
307581262,2
515512030,1
515511814,2
479882825,6
307580164,3
307583254,1
307577795,5
519422675,6
504803169,16
515512031,2
499019579,6
519423784,5
524331225,10
307578312,8
480807577,4
520395842,9
307582275,1
449962042,3
453671933,1
307576068,5
511607580,14
507723978,3
524330248,3
307581331,2
307578019,10
515510754,19
530230298,10
526290152,11
536162520,6
307576720,2
307583731,10
307576405,15
545099014,15
523345885,3
513565042,11
307575169,6
307581413,3
531216507,4
537150498,4
494898923,1
534183964,8
550996313,1
510636664,28
547098519,14
552622570,7
537149776,2
307586742,13
537149561,1
559014816,11
560938782,1
566474177,4
566963920,36
567045017,20
540125733,1
307584935,4
307581521,15
307583518,1
564575166,20
567042539,6
307584496,16
543110372,1
567580365,23
434586339,5
571594203,11
567045049,2
307584202,3
307582185,10
307594067,9
548990053,1
358139968,1
307585977,4
307578499,1
525310644,24
307576965,15
579110999,8
574204046,1
574799921,6
544097797,12
307594110,5
495650935,5
579514701,10
592803443,5
583127640,5
307586115,2
307576233,11
307574455,5
480535134,2
593486797,6
307581147,9
307575011,5
593543594,3
491796624,4
579087197,1
307581879,3
610785201,9
593562151,4
607713303,9
307583069,1
438002209,3
307587091,6
560020304,1
610783135,44
598783003,16
611762342,14
307586119,7
307576943,5
588492250,4
307587314,2
601672972,7
538139886,4
606288094,5
307587197,1
592258133,2
602195240,6
587171825,7
606066976,5
621717393,5
307577057,12
472896509,11
307586452,1
616854122,5
307586964,2
578656733,2
616531691,8
620948122,2
539134182,1
490334894,1
622938616,1
307585514,10
307591047,2
640304803,4
385100179,1
611461432,1
616418364,3
623264391,8
644902631,2
307579141,1
645428590,4
607747689,4
624526525,3
307577947,4
435245642,2
441675758,2
631661224,2
307575286,22
480812760,4
604710038,7
558738747,1
640317059,1
659435021,3
664900733,14
307584836,10
663864166,2
671108787,1
671054387,13
676218977,4
661196464,9
490334628,2
635256270,2
385101820,11
606667408,1
661811894,1
679307321,7
680343562,5
517462822,3
680586765,2
471388038,1
667975859,1
664900160,4
496070514,4
628071999,7
499982928,15
453672006,7
307579431,2
659767004,1
685097312,8
696544369,9
690820857,6
584763833,25
703444462,6
354709802,5
525310341,5
579082805,11
672944369,2
699978171,1
671444741,1
307585703,1
417084629,2
675178071,13
601952846,3
695403457,2
472332007,4
722940554,6
307579637,3
511606506,8
708027560,10
549085811,2
506756576,2
725241778,18
714899176,1
516484971,1
732159016,3
307582746,37
438919931,5
709180150,1
728709395,17
736790962,2
727553102,12
307585869,39
739098580,7
565557786,2
727554323,3
702273835,1
579109848,4
733318226,6
744886909,34
307582379,8
751838186,7
644406604,2
453671947,1
724093825,6
750676971,16
690820323,2
757623920,2
757624260,3
750676966,1
744886782,1
307580696,1
330009268,1
307585809,1
718347666,6
772728613,2
380723079,2
777391055,3
772729496,4
307585508,3
701126852,1
780889582,13
307582402,3
728709613,16
307575985,3
307585018,3
552993636,4
710319768,6
682775578,9
792564624,3
784398071,1
307581843,6
798427080,29
791396613,6
740255019,4
699977739,3
537150312,25
799611153,4
307581148,1
804309325,21
804309542,1
307575700,5
805491761,2
307581797,3
759945428,20
307573660,6
809012833,45
783223619,3
804310087,1
307579999,16
524330891,3
814871581,8
820736691,1
574003478,1
307579779,4
809012892,1
824289495,1
772732539,1
807842189,3
824289177,3
830166370,3
831350367,14
799610731,3
824290487,52
825470719,2
833699151,1
825470125,38
714898744,12
831349706,2
631078575,2
816046491,10
833698924,2
825470129,2
813704460,1
832521825,1
744886024,4
784396727,7
621966580,24
809013267,2
652847656,8
847846846,3
849022892,4
852564696,1
853759033,3
830166365,6
857301832,4
743725614,6
856121532,3
734477331,2
830166590,7
858493004,4
857301286,5
631456517,4
862043059,8
860855955,1
858493232,2
853758938,2
870345736,3
857300972,2
867966975,22
840756715,10
634590597,6
307580745,9
875083205,4
307579540,17
726405710,4
872712465,2
878643676,8
875082326,2
859670518,3
830166163,1
776228487,2
307582385,3
872711697,5
724090140,7
307580010,1
307586913,1
657485176,1
307578842,1
649512690,1
891723563,10
882021193,6
529241125,2
891723437,1
831350144,4
896492230,1
826642187,1
853759460,2
883400115,29
645426047,2
896491727,4
892920241,3
739098681,6
896492178,1
914388235,5
565031055,2
904837769,5
307584667,1
809013213,2
894106734,1
904839093,1
307586003,2
917977999,1
917978221,2
888159866,5
686238511,13
491836742,1
921567065,1
834873361,5
927550938,2
926356595,2
683945883,6
849023322,3
680428370,3
920369239,1
780890882,3
846666598,1
937145817,1
307586263,1
928751021,1
920364609,1
934743055,1
937146027,4
928748838,9
920365153,4
307580091,4
307586944,3
901253722,3
934744648,7
641604036,4
950352926,5
839582284,1
307580108,1
956368490,8
953960958,3
636230652,1
784398072,6
961178965,11
886962676,2
886962243,1
586164124,3
533201270,1
889343499,1
683946335,1
945546268,4
961178638,9
937145819,1
958775510,6
307577639,3
959979297,2
969619333,8
963588647,3
963589833,2
766915502,2
965999092,4
956368486,1
975656903,3
934743917,21
840756730,2
967210458,2
444434605,3
307577847,5
974443873,2
944346486,3
985315472,2
856121968,1
962393608,3
991374969,1
685098421,1
962393827,6
995012278,8
995011723,1
970829236,12
575385616,1
1001065942,3
999852804,1
