CUSTOMER_WID,INBOUND_CALLS_NUM
1368769999,1
309126228,2
317445037,6
307574572,9
307575394,13
307573660,6
307576454,3
307577231,28
307576148,1
307576818,1
307576073,3
307576471,6
307577101,5
307576651,1
307576869,3
307577281,1
307576089,65
307574698,15
307574699,4
307576643,1
307576664,2
307575970,2
307576185,1
307576100,5
307577382,28
307577203,1
307577062,16
307574828,1
307576193,10
307577064,6
307577280,1
307574899,6
307575985,3
307574973,2
307576125,1
307577420,2
307576997,14
307576141,1
307576197,9
307576863,15
307576068,5
307577069,9
307576720,2
307577148,4
307576653,10
307577030,2
307577297,2
307577218,6
307577435,5
307577615,8
307576943,5
307580164,3
307580166,37
307578845,22
307578206,10
307578278,1
307580015,4
307580630,1
307579468,15
307577903,10
307580676,1
307577700,3
307579837,1
307577855,5
307578635,8
307579637,3
307579431,2
307579147,1
307576965,15
307577057,12
307579453,11
307579264,7
307578927,1
307580545,1
307578015,1
307577248,6
307577249,15
307577247,1
307577409,2
307577128,15
307578523,1
307577963,26
307580432,17
307580096,42
307577688,6
307579537,11
307579606,2
307579337,6
307578129,31
307579910,3
307580780,19
307579067,6
307579779,4
307578368,10
307578299,1
307576763,1
307580178,3
307579952,18
307578683,10
307578753,1
307578755,18
307579609,3
307578770,2
307579832,1
307578354,4
307578355,4
307577715,2
307579850,24
307580884,15
307580895,6
307576551,4
307578598,7
307578186,1
307577912,3
307577913,4
307577982,1
307579131,13
307579138,18
307579141,1
307578147,8
307577807,2
307577947,4
307577946,1
307576533,1
307576836,25
307577042,5
307580251,5
307578430,8
307579143,11
307580910,30
307578945,2
307579587,4
307579727,2
307576553,1
307579667,1
307579104,1
307578899,1
307579820,2
307579822,3
307578621,40
307578499,1
307580010,1
307578086,5
307579293,1
307579436,1
307580107,6
307576838,4
307580108,1
307578762,28
307578344,16
307580857,1
307580862,1
307580957,4
307580563,5
307580581,1
307579714,5
307579925,1
307579876,4
307578883,3
307580369,2
307579246,6
307577753,1
307578676,3
307580321,1
307578763,16
307578196,4
307579345,2
307580402,3
307579770,10
307578019,10
307578161,8
307580999,3
307576752,1
307577557,1
307578389,8
307580091,4
307577822,14
307579041,2
307577909,36
307578837,1
307580696,1
307579197,15
307580172,2
307577634,1
307578643,5
307579426,3
307579856,13
307580885,6
307578294,2
307579731,5
307578528,5
307579181,1
307577977,20
307578267,1
307578558,20
307578715,3
307580474,4
307577649,15
307578502,12
307577648,3
307580953,10
307577656,3
307577795,5
307578506,4
307578505,2
307579866,1
307576892,1
307577189,1
307581031,24
307578530,1
307579183,3
307579540,18
307578921,2
307580621,113
307577804,21
307577261,8
307580032,11
307579818,1
307577690,2
307577691,8
307579610,5
307578614,2
307577776,23
307580845,1
307578868,16
307579999,16
307578672,6
307578962,10
307577762,11
307579681,14
307580389,2
307579480,2
307577847,5
307578773,6
307580745,9
307579227,4
307577564,3
307576704,1
307578745,1
307578963,9
307579685,1
307580444,11
307578191,8
307578844,2
307578842,1
307577639,3
307578312,8
307579242,5
307579396,1
307586858,2
307584544,5
307584758,6
307584974,13
307585990,6
307585222,12
307586964,2
307584739,5
307586494,5
307584886,1
307585809,1
307586643,2
307584404,1
307585959,3
307584830,1
307587034,12
307585514,10
307585660,6
307584742,3
307584893,4
307586709,3
307586784,3
307584959,5
307586781,20
307586849,8
307585113,2
307584903,9
307585189,5
307586029,11
307586797,6
307585057,21
307585220,1
307584517,17
307587104,1
307584441,1
307584325,16
307586559,17
307585808,3
307587074,8
307586034,1
307586339,1
307583949,1
307585869,39
307587138,3
307585508,3
307584020,10
307584873,2
307586841,1
307584249,6
307583909,2
307586944,3
307587314,2
307586012,10
307586848,18
307587201,2
307585399,5
307587009,16
307583876,8
307583877,3
307584094,31
307586913,1
307586917,2
307584394,7
307586233,10
307587144,2
307583985,1
307586619,24
307585018,3
307586077,3
307587197,1
307586510,6
307586313,11
307585969,1
307585787,9
307584017,18
307586835,2
307586003,2
307585609,2
307585610,11
307583907,1
307584123,27
307587217,2
307585054,6
307586318,3
307586668,43
307586686,3
307584935,4
307584936,8
307584836,10
307586452,1
307586872,47
307585856,5
307586974,7
307585307,11
307584458,1
307586224,13
307587194,1
307585531,7
307586316,9
307587079,1
307587082,2
307587222,2
307584202,3
307583922,1
307587191,1
307586577,2
307584895,2
307586718,13
307584117,2
307585275,13
307586825,5
307585305,3
307586281,5
307587117,1
307587259,6
307586573,7
307585820,2
307586115,2
307586738,5
307585298,1
307587180,2
307584667,1
307582385,3
307583518,1
307582402,3
307583322,3
307583396,2
307582345,2
307581197,10
307581217,13
307581166,1
307582097,13
307582098,3
307582099,2
307581257,12
307582995,12
307582574,1
307582454,3
307582746,38
307582470,44
307582263,13
307582264,1
307583260,3
307583467,1
307583261,11
307587091,6
307586054,29
307587298,1
307586263,1
307581413,3
307582154,1
307581147,9
307581148,1
307581749,11
307582935,2
307582309,4
307583011,2
307583809,3
307583599,7
307587365,4
307581851,3
307581521,15
307582841,5
307582843,5
307582215,8
307582717,3
307583641,5
307584714,16
307580555,5
307578808,28
307581694,5
307578810,6
307581944,11
307581612,2
307582211,6
307582379,8
307582381,13
307582595,34
307583731,10
307582185,10
307583673,4
307583039,7
307582627,7
307583474,6
307581836,5
307581834,5
307581925,11
307581627,2
307582982,15
307583044,2
307581153,5
307581875,6
307581945,2
307581964,4
307582791,5
307582376,3
307583675,1
307583749,3
307584007,1
307584575,4
307581134,12
307581578,6
307581507,4
307582158,1
307581947,4
307581528,2
307582353,4
307582229,5
307584432,1
307584144,2
307586537,19
307586816,7
307587025,3
307587376,11
307581262,2
307581048,1
307581980,1
307582048,1
307581927,1
307583817,17
307583173,1
307582618,1
307583254,1
307582903,7
307586405,3
307581331,2
307581580,5
307581300,1
