"CANCELED","ROW_WID","ACCNT_LOC","ARPU","SES","HOME_PASSED","CUST_SINCE_DT","MONTHS_AGE","CANCEL_DT","CITY","POP"
1,309126228,"4010716",824,"C",818,29-OCT-14,5.03,30-MAR-15,"MONCLOVA","MC"
1,309126228,"4010716",824,"C",818,29-OCT-14,5.09,01-ABR-15,"MONCLOVA","MC"
1,309126228,"4010716",824,"C",818,29-OCT-14,5.09,01-ABR-15,"MONCLOVA","MC"
1,309126228,"4010716",824,"C",818,29-OCT-14,5.09,01-ABR-15,"MONCLOVA","MC"
1,308305583,"4010080",610,"C",339,13-NOV-14,27.44,27-FEB-17,"MONCLOVA","MC"
1,308305616,"4010671",143.35,"C",790,11-NOV-14,7.47,26-JUN-15,"MONCLOVA","MC"
1,309959852,"4012104",393,"D",1153,08-DIC-14,6.58,26-JUN-15,"MONCLOVA","MC"
1,309127845,"4010712",526.59,"D",169,08-NOV-14,5.66,29-ABR-15,"FRONTERA","MC"
1,309959178,"4011714",499,"C",818,06-NOV-14,5.72,29-ABR-15,"MONCLOVA","MC"
1,314951943,"4014557",452.94,"C",767,07-NOV-14,7.6,26-JUN-15,"MONCLOVA","MC"
1,309127844,"4010709",463,"C",818,29-OCT-14,12.9,26-NOV-15,"MONCLOVA","MC"
1,309960691,"4011689",393,"C",1306,30-OCT-14,11.96,29-OCT-15,"MONCLOVA","MC"
1,314953108,"4014450",393,"C",568,09-DIC-14,10.64,29-OCT-15,"MONCLOVA","MC"
1,315787129,"4015461",960,"B",909,08-NOV-14,11.67,29-OCT-15,"MONCLOVA","MC"
1,310789357,"4012383",284,"B",305,12-NOV-14,7.45,26-JUN-15,"MONCLOVA","MC"
1,316617512,"4016101",534,"C",818,12-NOV-14,7.45,26-JUN-15,"MONCLOVA","MC"
1,309960797,"4011613",406,"B",403,30-OCT-14,33.97,29-AGO-17,"MONCLOVA","MC"
1,310789377,"4012710",499,"D",1153,18-NOV-14,16.37,30-MAR-16,"MONCLOVA","MC"
1,310789377,"4012710",499,"D",1153,18-NOV-14,16.41,31-MAR-16,"MONCLOVA","MC"
1,310789686,"4012302",546,"C",4892,19-NOV-14,21.35,30-AGO-16,"MONCLOVA","MC"
1,311622854,"4012830",655,"C",1306,15-NOV-14,17.42,28-ABR-16,"MONCLOVA","MC"
1,314115357,"4013867",725.03,"C",465,10-NOV-14,5.6,29-ABR-15,"FRONTERA","MC"
1,314115358,"4013892",393,"C",568,15-NOV-14,22.44,28-SEP-16,"MONCLOVA","MC"
1,314951623,"4014547",305,"C",767,13-NOV-14,6.54,29-MAY-15,"MONCLOVA","MC"
1,315786940,"4015164",581,"D",876,05-NOV-14,5.75,29-ABR-15,"MONCLOVA","MC"
1,315787008,"4015238",499,"D",2085,11-NOV-14,6.61,29-MAY-15,"FRONTERA","MC"
1,315787301,"4015033",284,"C",69,10-NOV-14,6.61,29-MAY-15,"MONCLOVA","MC"
1,315787022,"4015448",256,"D",890,27-NOV-14,31.06,29-JUN-17,"MONCLOVA","MC"
1,315787226,"4015259",470,"D",169,11-NOV-14,9.55,28-AGO-15,"FRONTERA","MC"
1,315787226,"4015259",470,"D",169,11-NOV-14,17.55,28-ABR-16,"FRONTERA","MC"
1,318285721,"4016694",393,"B",909,11-NOV-14,11.57,29-OCT-15,"MONCLOVA","MC"
1,324135066,"4020395",499,"C",790,20-NOV-14,5.3,29-ABR-15,"MONCLOVA","MC"
1,315787277,"4015279",852,"C",818,10-NOV-14,8.59,29-JUL-15,"MONCLOVA","MC"
1,315787346,"4015490",256,"B",909,09-NOV-14,30.64,29-MAY-17,"MONCLOVA","MC"
1,315787521,"4015051",556,"C",339,11-NOV-14,5.57,29-ABR-15,"MONCLOVA","MC"
1,315787521,"4015051",556,"C",339,11-NOV-14,5.55,29-ABR-15,"MONCLOVA","MC"
1,316616842,"4015649",754,"D",296,19-NOV-14,8.3,29-JUL-15,"MONCLOVA","MC"
1,316617060,"4015671",638,"B",424,18-NOV-14,5.33,29-ABR-15,"MONCLOVA","MC"
1,318286048,"4016708",425,"D",1813,11-NOV-14,5.56,29-ABR-15,"MONCLOVA","MC"
1,318286262,"4016724",140,"D",1813,11-NOV-14,9.56,28-AGO-15,"MONCLOVA","MC"
1,319948347,"4017118",390,"D",1813,01-DIC-14,4.88,29-ABR-15,"MONCLOVA","MC"
1,320782550,"4017838",284,"C",790,18-NOV-14,17.32,28-ABR-16,"MONCLOVA","MC"
1,326642531,"4022312",554.58,"C",1306,24-NOV-14,5.14,29-ABR-15,"MONCLOVA","MC"
1,316617577,"4016173",470,"B",1733,13-NOV-14,10.55,29-SEP-15,"MONCLOVA","MC"
1,316617608,"4015868",393,"D",1499,07-NOV-14,5.69,29-ABR-15,"MONCLOVA","MC"
1,320782770,"4017852",390,"C",1306,19-NOV-14,5.3,29-ABR-15,"MONCLOVA","MC"
1,318285501,"4016698",374,"B",909,25-NOV-14,7.02,26-JUN-15,"MONCLOVA","MC"
1,318285723,"4016702",469,"D",1813,11-NOV-14,22.55,28-SEP-16,"MONCLOVA","MC"
1,318286048,"4016708",425,"D",1813,11-NOV-14,5.58,29-ABR-15,"MONCLOVA","MC"
1,318286476,"4016774",522.64,"D",325,19-NOV-14,6.32,29-MAY-15,"MONCLOVA","MC"
1,319947414,"4017544",499,"C",767,13-NOV-14,13.5,29-DIC-15,"MONCLOVA","MC"
1,319947832,"4017367",305,"C",4892,18-NOV-14,13.33,28-DIC-15,"MONCLOVA","MC"
1,320782876,"4017810",534,"D",354,18-NOV-14,6.36,29-MAY-15,"MONCLOVA","MC"
1,320784071,"4017828",702.81,"B",1733,15-NOV-14,6.45,29-MAY-15,"MONCLOVA","MC"
1,323296336,"4019904",149,"D",876,15-NOV-14,16.47,30-MAR-16,"MONCLOVA","MC"
1,324135281,"4020406",546,"B",909,26-NOV-14,6.1,29-MAY-15,"MONCLOVA","MC"
1,324135937,"4020452",249,"D",325,25-NOV-14,8.13,29-JUL-15,"MONCLOVA","MC"
