"CANCELED","ROW_WID","ACCNT_LOC","ARPU","SES","HOME_PASSED","CUST_SINCE_DT","MONTHS_AGE","CANCEL_DT","CITY","POP"
1,27451596,"2899229",446,"D",941,20-NOV-12,53.22,26-ABR-17,"MONCLOVA","MC"
1,1339824066,"4338316",206.45,"D+",679,05-JUN-17,0.7,27-JUN-17,"MONCLOVA","MC"
1,353001149,"4038911",499.8,"D",890,09-ENE-15,2.12,12-MAR-15,"MONCLOVA","MC"
1,307578625,"2684795",390,"B",909,20-AGO-10,50.21,26-OCT-14,"MONCLOVA","MC"
1,361573968,"4043068",550,"C",4892,12-ENE-15,4.18,18-MAY-15,"MONCLOVA","MC"
1,310788600,"4012341",1062,"C",3273,30-OCT-14,2.18,05-ENE-15,"MONCLOVA","MC"
1,327485572,"4022683",300,"A",188,21-NOV-14,18.16,26-MAY-16,"MONCLOVA","MC"
1,377201579,"4053180",625,"C",1162,21-ENE-15,23.09,24-DIC-16,"MONCLOVA","MC"
1,307575175,"2801853",640,"D",890,26-OCT-11,59.15,30-SEP-16,"MONCLOVA","MC"
1,307576023,"2925876",470,"B",403,25-ABR-13,18.04,26-OCT-14,"MONCLOVA","MC"
1,307576024,"2926008",268.53,"C",767,26-ABR-13,18,26-OCT-14,"MONCLOVA","MC"
1,307575182,"2825636",890,"B",403,28-ENE-12,53.83,22-JUL-16,"MONCLOVA","MC"
1,307575249,"2909249",238.35,"C",4892,03-ENE-13,21.75,26-OCT-14,"MONCLOVA","MC"
1,307575250,"2909255",192.81,"C",4892,03-ENE-13,21.75,26-OCT-14,"MONCLOVA","MC"
1,307575256,"2921550",238.19,"D",1499,23-MAR-13,19.11,26-OCT-14,"MONCLOVA","MC"
1,307575257,"2921711",817.13,"C",4892,25-MAR-13,19.04,26-OCT-14,"MONCLOVA","MC"
1,307576435,"2918853",788.42,"C",4892,02-MAR-13,19.79,26-OCT-14,"MONCLOVA","MC"
1,307574571,"2896673",325.5,"C",767,27-OCT-12,23.98,26-OCT-14,"MONCLOVA","MC"
1,307575471,"2925479",239,"C",4892,23-ABR-13,18.11,26-OCT-14,"MONCLOVA","MC"
1,307575472,"2925565",875,"C",4892,23-ABR-13,34.44,05-MAR-16,"MONCLOVA","MC"
1,307575473,"2925683",488,"C",4892,24-ABR-13,18.08,26-OCT-14,"MONCLOVA","MC"
1,307576223,"2917970",300,"C",4892,25-FEB-13,33.51,09-DIC-15,"MONCLOVA","MC"
1,307576229,"2927771",417.81,"C",4892,09-MAY-13,17.56,26-OCT-14,"MONCLOVA","MC"
1,307574503,"2855759",637.14,"D",890,04-JUN-12,28.72,26-OCT-14,"MONCLOVA","MC"
1,307576857,"2888917",586.45,"C",4892,01-OCT-12,24.82,26-OCT-14,"MONCLOVA","MC"
1,307576859,"2888921",404.19,"C",4892,01-OCT-12,24.82,26-OCT-14,"MONCLOVA","MC"
1,307577211,"2934505",892,"C",568,07-SEP-13,13.63,26-OCT-14,"MONCLOVA","MC"
1,307575252,"2909388",627.58,"C",4892,04-ENE-13,21.72,26-OCT-14,"MONCLOVA","MC"
1,307576103,"2901367",336.02,"C",128,15-NOV-12,23.37,26-OCT-14,"MONCLOVA","MC"
1,307576105,"2901507",692,"C",4892,15-NOV-12,23.37,26-OCT-14,"MONCLOVA","MC"
1,307575325,"2735265",736,"C",767,05-ENE-11,61.63,24-FEB-16,"MONCLOVA","MC"
1,307576443,"2898670",208.16,"C",767,05-NOV-12,23.69,26-OCT-14,"MONCLOVA","MC"
1,307576444,"2899069",390.68,"D",179,06-NOV-12,23.66,26-OCT-14,"MONCLOVA","MC"
1,307576242,"2927789",532.55,"C",767,09-MAY-13,17.56,26-OCT-14,"MONCLOVA","MC"
1,307576243,"2927792",699.29,"D",890,09-MAY-13,17.56,26-OCT-14,"MONCLOVA","MC"
1,307574504,"2856037",2325.19,"B",403,04-JUN-12,28.72,26-OCT-14,"MONCLOVA","MC"
1,307576723,"2731850",470,"C",75,17-DIC-10,46.3,26-OCT-14,"MONCLOVA","MC"
1,307577220,"2938088",566.45,"C",568,14-NOV-13,11.4,26-OCT-14,"MONCLOVA","MC"
1,307577221,"2938100",179,"C",4892,14-NOV-13,13.79,07-ENE-15,"MONCLOVA","MC"
1,307577509,"2865084",438.59,"D",210,04-JUL-12,27.72,26-OCT-14,"MONCLOVA","MC"
1,307576113,"2916287",417.57,"C",860,15-FEB-13,20.37,26-OCT-14,"MONCLOVA","MC"
1,307576118,"2924871",1529.7,"C",4892,18-ABR-13,18.27,26-OCT-14,"MONCLOVA","MC"
1,307574492,"2806332",624.61,"D",890,12-NOV-11,35.46,26-OCT-14,"MONCLOVA","MC"
