CUSTOMER_WID,COLLECTION_EVENTS_NUM
307573144,38
307573660,16
307574455,13
307574541,2
307574572,26
307574599,11
307574651,4
307574658,24
307574659,6
307574698,52
307574699,2
307574863,10
307574899,27
307575011,22
307575016,3
307575034,16
307575217,24
307575286,5
307575290,4
307575295,12
307575302,7
307575313,28
307575320,16
307575334,2
307575339,2
307575381,16
307575394,52
307575407,12
307575413,2
307575488,15
307575513,4
307575520,46
307575528,14
307575580,6
307575596,6
307575613,4
307575630,2
307575646,2
307575661,14
307575689,6
307575693,17
307575700,4
307575713,6
307575783,2
307575788,6
307575800,2
307575812,6
307575824,9
307575838,13
307575859,2
307575960,6
307575970,11
307576064,22
307576068,4
307576073,8
307576079,4
307576089,42
307576100,4
307576148,6
307576176,4
307576185,2
307576193,12
307576197,4
307576233,4
307576239,1
307576285,1
307576289,18
307576311,30
307576317,17
307576324,4
307576351,14
307576359,2
307576390,12
307576405,6
307576454,6
307576471,2
307576497,4
307576551,22
307576557,9
307576602,4
307576614,2
307576651,18
307576653,4
307576664,12
307576704,27
307576709,6
307576720,14
307576752,2
307576763,14
307576801,4
307576836,34
307576838,2
307576863,22
307576869,10
307576875,2
307576892,24
307576905,2
307576925,12
307576965,12
307576997,10
307577030,12
307577057,48
307577064,2
307577069,20
307577096,4
307577101,10
307577105,12
307577128,4
307577148,6
307577189,5
307577203,22
307577218,54
307577228,2
307577231,5
307577247,4
307577248,2
307577261,16
307577280,5
307577296,2
307577297,6
307577409,3
307577420,2
307577435,31
307577446,3
307577557,24
307577564,4
307577617,18
307577649,27
307577656,4
307577681,1
307577688,2
307577690,8
307577691,34
307577700,4
307577715,31
307577717,13
307577746,11
307577753,3
307577762,29
307577776,2
307577795,2
307577804,17
307577807,45
307577822,2
307577847,4
307577855,11
307577866,2
307577873,9
307577880,2
307577903,28
307577909,14
307577912,2
307577913,8
307577946,9
307577963,10
307577977,50
307577982,9
307578015,7
307578072,19
307578086,11
307578095,8
307578129,14
307578147,15
307578161,10
307578186,4
307578196,15
307578206,2
307578239,45
307578277,7
307578278,2
307578294,20
307578312,2
307578318,3
307578344,14
307578354,2
307578355,18
307578368,27
307578389,20
307578421,8
307578430,22
307578449,4
307578452,2
307578499,3
307578505,15
307578515,3
307578523,20
307578528,14
307578530,31
307578547,18
307578558,22
307578611,6
307578614,45
307578621,4
307578635,2
307578671,6
307578672,4
307578683,5
307578701,18
307578734,12
307578745,38
307578753,22
307578755,29
307578760,5
307578762,33
307578773,6
307578790,4
307578807,4
307578808,28
307578810,11
307578837,7
307578844,4
307578845,34
307578868,5
307578899,12
307578921,4
307578927,5
307578945,49
307578962,6
307578963,7
307579067,2
307579131,7
307579138,6
307579141,3
307579143,7
307579147,2
307579181,44
307579183,16
307579197,6
307579223,1
307579227,2
307579242,10
307579246,31
307579264,8
307579272,4
307579337,8
307579345,10
307579396,4
307579416,4
307579426,4
307579431,44
307579436,6
307579453,21
307579465,1
307579468,32
307579480,12
307579537,8
307579539,17
307579540,2
307579550,5
307579583,2
307579587,10
307579606,2
307579609,4
307579610,2
307579637,6
307579659,9
307579667,2
307579681,33
307579714,35
307579727,2
307579731,9
307579754,44
307579770,4
307579818,18
307579821,10
307579822,8
307579832,7
307579837,17
307579850,2
307579856,37
307579866,24
307579876,13
307579910,3
307579979,2
307579999,8
307580010,12
307580032,51
307580043,6
307580056,2
307580091,27
307580096,2
307580107,9
307580108,7
307580140,4
307580163,4
307580166,44
307580177,4
307580178,6
307580251,8
307580261,24
307580272,26
307580279,10
307580321,7
307580377,9
307580398,22
307580402,16
307580432,9
307580450,10
307580474,4
307580503,5
307580545,13
307580555,10
307580563,4
307580630,3
307580676,2
307580677,10
307580696,28
307580697,2
307580745,24
307580756,15
