"CUSTOMER_WID","KEYWORDS_NUM"
307578299,1
307587034,5
307576185,1
307582618,1
307581945,1
307576193,5
307575488,2
307582717,1
307580910,11
307577062,7
307578598,5
307577042,1
307576653,8
307576454,1
307586974,5
307581371,6
307586825,2
307580895,3
307575859,8
307583501,10
307587144,1
309126228,1
307574973,2
307580444,5
307579770,3
316617060,1
307582376,1
307578129,12
307577804,17
327486670,6
307578755,6
307584017,7
307585399,5
307576125,1
333394220,5
307575302,2
307578762,19
307575824,1
307578808,9
307581836,2
307584974,3
307580166,22
339355352,1
307583096,1
339355240,1
307575334,1
307582093,12
307583578,26
307576551,3
348730146,5
307575382,1
307587009,14
307579850,14
307578206,2
307582982,11
307583011,2
307582574,1
307581528,1
307585222,6
307577280,1
307577656,2
373705630,8
307584123,15
307587376,5
307587201,1
307581886,1
307593338,8
307578643,2
307582099,1
345324675,4
307586577,1
307583467,1
307577963,13
307576651,1
307584325,7
307579727,2
307575596,4
307577776,11
395664183,1
307582841,2
307586494,4
307577690,1
332539388,2
307577420,1
307584893,2
307578015,1
307582146,1
307581578,3
307576089,25
438002465,1
307574572,8
307582456,6
307574410,1
307578430,3
307585531,3
397435753,20
307579041,2
307581834,3
397435754,4
307587194,1
307579822,2
445352384,5
417085252,23
461114859,8
307582345,2
462978622,4
307587365,3
307580432,9
307579925,1
307578502,5
307575520,5
324136566,3
387736090,1
426140477,8
307586405,3
307578147,5
307577648,1
307582929,13
383344849,23
307586281,3
307581031,9
307584458,1
307580032,7
307586316,4
307585969,1
307579610,4
307586816,3
307580999,3
499019872,21
453672213,2
500944802,1
499019738,8
504802675,3
480532860,1
498947640,7
307578506,2
307582394,2
307581262,2
307583254,1
519422675,1
394781411,7
515512031,1
524331225,9
307578312,5
307593427,5
524330248,2
307581492,10
307580107,5
515510754,14
536162520,4
307576720,1
307583731,2
307576405,7
307583261,5
473256944,4
399211503,4
327485589,4
307575689,1
523345885,1
513565042,8
531216507,3
494898923,1
547098519,6
307586742,11
537149561,1
307578086,2
552622570,4
480807577,2
566963920,21
540125733,1
307584935,4
307581521,9
564575166,19
307577795,1
543110372,1
307581331,1
567580365,9
307582185,3
434586339,1
470434635,5
307586029,6
548990053,1
567045017,7
307585977,3
307576068,2
404545982,4
307576965,4
307594110,2
504803169,7
559014816,4
307581879,3
307583069,1
607713303,5
307586119,4
307579131,4
307587314,1
307587197,1
602195240,4
534183964,6
606066976,2
621717393,1
544097797,10
307575169,3
392137419,6
307577057,8
307586452,1
616854122,4
402762290,9
307576943,4
490334894,1
593543594,1
307586668,33
307591047,1
307578161,3
598783003,10
611461432,1
616418364,3
624526525,3
307577947,2
472896509,9
435245642,1
307575286,11
604710038,3
593486797,3
640317059,1
526290152,2
525310644,8
307584836,6
664900733,8
676218977,2
661196464,8
490334628,2
640304803,3
307584517,6
385101820,9
680343562,2
517462822,3
307594067,4
538139886,1
471388038,1
537150498,3
583127640,3
307577261,6
307586797,2
307593541,5
631661224,1
667975859,1
510636664,10
530230298,6
664900160,3
496070514,3
628071999,6
537149776,1
545099014,9
499982928,9
588492250,2
579110999,5
611762342,5
453672006,4
443513785,1
307579431,2
307581147,6
610785201,3
307583749,1
690820857,5
584763833,14
354709802,3
525310341,2
699978171,1
307578810,1
645428590,1
417084629,2
610783135,28
695403457,2
593562151,2
703444462,5
672944369,1
511606506,6
567042539,2
486496181,3
506756576,1
732159016,1
438919931,5
