CUSTOMER_WID,KEYWORDS_NUM
309126228,1
317445037,3
307574572,8
307575394,8
307573660,3
307576454,1
307577231,8
307576471,1
307576651,1
307576869,2
307576089,25
307574698,11
307574699,2
307576643,1
307576664,1
307575970,1
307576185,1
307577382,15
307577062,7
307576193,5
307577064,1
307577280,1
307574899,3
307575985,2
307574973,2
307576125,1
307577420,1
307576997,6
307576141,1
307576197,5
307576863,10
307576068,2
307577069,5
307576720,1
307577148,2
307576653,8
307577030,2
307577218,6
307577435,2
307577615,7
307576943,4
307580164,1
307580166,22
307578845,18
307578206,2
307578278,1
307580015,3
307579468,7
307577903,5
307577700,2
307577855,2
307578635,6
307579431,2
307576965,4
307577057,8
307579453,8
307579264,4
307578927,1
307580545,1
307578015,1
307577248,5
307577249,10
307577247,1
307577409,1
307577128,4
307577963,13
307580432,9
307580096,29
307577688,3
307579537,4
307579606,2
307579337,5
307578129,12
307580780,8
307579910,1
307579067,1
307579779,4
307578368,9
307578299,1
307579952,9
307578683,3
307578753,1
307578755,6
307579609,3
307578770,1
307577715,1
307579850,15
307580884,5
307580895,3
307576551,3
307578598,5
307578186,1
307577913,3
307577912,2
307577982,1
307579131,4
307579138,10
307578147,5
307577947,2
307577807,1
307577042,1
307576836,18
307580251,3
307578430,3
307579143,8
307580910,11
307578945,1
307579587,1
307579727,2
307576553,1
307579667,1
307579104,1
307578899,1
307579820,2
307579822,2
307578621,21
307580010,1
307578086,2
307580107,5
307576838,2
307580108,1
307578762,19
307578344,3
307580862,1
307580957,2
307580563,5
307579714,2
307579925,1
307579246,3
307578763,9
307578196,4
307579345,1
307579770,3
307578019,5
307578161,3
307580999,3
307577557,1
307578389,8
307580091,3
307577822,5
307579041,2
307577909,29
307580696,1
307579197,7
307580172,2
307578643,2
307579856,4
307579731,5
307578528,2
307579181,1
307577977,10
307578558,11
307578715,3
307580474,3
307577649,6
307577648,1
307578502,5
307580953,3
307577656,2
307577795,1
307578506,2
307578505,2
307581031,9
307579540,13
307580621,60
307577804,17
307577261,6
307580032,7
307577691,3
307577690,1
307579610,4
307578614,1
307577776,11
307580845,1
307578868,12
307579999,11
307578672,6
307578962,2
307577762,4
307579681,9
307580389,1
307579480,2
307577847,2
307578773,5
307580745,5
307579227,3
307577564,2
307578963,6
307578191,7
307580444,5
307578844,1
307577639,3
307578312,5
307579242,4
307579396,1
307586858,2
307584544,1
307584758,5
307584974,4
307585990,2
307585222,6
307586494,4
307584739,4
307585809,1
307586643,1
307585959,1
307584830,1
307587034,5
307585514,4
307585660,2
307584742,1
307586709,3
307584893,2
307586784,3
307584959,4
307586781,1
307586849,2
307584903,7
307586029,6
307585189,1
307586797,2
307585057,11
307585220,1
307584517,6
307584325,7
307586559,17
307587074,5
307585869,34
307587138,2
307585508,2
307584020,6
307584873,1
307584249,4
307586944,1
307587314,1
307586012,7
307586848,9
307587201,1
307585399,5
307587009,14
307583876,2
307583877,2
307584094,26
307586913,1
307586917,2
307584394,7
307586233,2
307587144,1
307586619,11
307585018,3
307586077,1
307587197,1
307586313,5
307585969,1
307585787,7
307584017,7
307586835,2
307586003,2
307585609,1
307585610,3
307584123,15
307585054,4
307586318,1
307586668,33
307584935,4
307584936,5
307586686,1
307584836,6
307586452,1
307586872,19
307585856,3
307586974,5
307585307,5
307584458,1
307586224,5
307587194,1
307585531,3
307586316,4
307587079,1
307587082,1
307587222,1
307584202,1
307587191,1
307586577,1
307584895,1
307586718,7
307584117,1
307585275,2
307586825,2
307586281,3
307585305,2
307587259,1
307586573,3
307585820,1
307586738,3
307587180,1
307582385,2
307582402,1
307583322,1
307582345,2
307581217,3
307582097,8
307582098,2
307582099,1
307581257,5
307582995,8
307582574,1
307582454,1
307582746,28
307582470,18
307582263,11
307583260,1
307583261,5
307583467,1
307587091,2
307586054,11
307586263,1
307581413,1
307581147,6
307581148,1
307581749,8
307582309,2
307583011,2
307583809,2
307583599,3
307587365,3
307581851,2
307581521,9
307582841,2
307582843,1
307582215,4
307582717,1
307583641,3
307584714,13
307580555,1
307578808,9
307581694,5
