"CANCELED","ROW_WID","ACCNT_LOC","ARPU","SES","HOME_PASSED","CUST_SINCE_DT","MONTHS_AGE","CANCEL_DT","CITY","POP"
1,688525490,"4219649",555.12,"C",3439,07-DIC-15,19.77,31-JUL-17,"MONCLOVA","MC"
1,694259818,"4221404",260.15,"D",1499,20-DIC-16,5.67,10-JUN-17,"MONCLOVA","MC"
1,701127287,"4223645",252.85,"C",860,11-ENE-16,19.64,31-AGO-17,"MONCLOVA","MC"
1,706876069,"4225286",489.35,"D",2085,28-DIC-15,18.6,16-JUL-17,"FRONTERA","MC"
1,691968784,"4220854",167.71,"D",753,17-DIC-15,17.66,07-JUN-17,"MONCLOVA","MC"
1,706875737,"4225230",587.88,"C",3439,04-ENE-16,19.5,20-AGO-17,"MONCLOVA","MC"
1,734478098,"4232883",301.97,"C",3273,04-FEB-16,17.53,21-JUL-17,"MONCLOVA","MC"
1,698830028,"4222607",430.22,"C",3439,09-FEB-16,17.7,31-JUL-17,"MONCLOVA","MC"
1,696545780,"4222171",583.21,"D",240,19-DIC-15,19.7,10-AGO-17,"MONCLOVA","MC"
1,726405270,"4230171",500.97,"C",284,30-MAY-16,12.51,15-JUN-17,"MONCLOVA","MC"
1,751837418,"4238136",586.22,"D",179,10-FEB-16,18.67,31-AGO-17,"MONCLOVA","MC"
1,764595535,"4240440",376.65,"D",2085,18-FEB-16,16.47,01-JUL-17,"FRONTERA","MC"
1,743725614,"4235809",287.47,"D",489,10-FEB-16,17.67,31-JUL-17,"MONCLOVA","MC"
1,741404985,"4235204",210.78,"C",3273,09-FEB-16,16.73,01-JUL-17,"MONCLOVA","MC"
1,750677019,"4237784",474.67,"D",876,01-FEB-16,17.63,21-JUL-17,"MONCLOVA","MC"
1,739098901,"4233971",334.77,"D",489,08-FEB-16,18.73,31-AGO-17,"MONCLOVA","MC"
1,741404753,"4235068",219.92,"C",465,22-ENE-16,18.6,10-AGO-17,"FRONTERA","MC"
1,744887006,"4236189",240.67,"D",2085,09-FEB-16,16.73,01-JUL-17,"FRONTERA","MC"
1,773894916,"4242662",184.71,"C",3439,18-FEB-16,16.67,08-JUL-17,"MONCLOVA","MC"
1,744886909,"4236417",606,"D",1499,05-FEB-16,17.51,21-JUL-17,"MONCLOVA","MC"
1,724089923,"4229040",165.96,"D",1153,19-ENE-16,16.7,10-JUN-17,"MONCLOVA","MC"
1,777390614,"4243571",571.35,"C",3439,23-FEB-16,16.63,11-JUL-17,"MONCLOVA","MC"
1,758786855,"4239355",306.48,"C",1306,08-FEB-16,15.73,31-MAY-17,"MONCLOVA","MC"
1,765750431,"4241020",603.79,"C",3439,13-FEB-16,15.8,07-JUN-17,"MONCLOVA","MC"
1,725242549,"4229752",554.77,"D",210,22-ENE-16,17.66,11-JUL-17,"MONCLOVA","MC"
1,740255423,"4234728",442.53,"B",909,10-FEB-16,18.66,31-AGO-17,"MONCLOVA","MC"
1,765749342,"4240764",145.49,"C",4892,11-FEB-16,17.95,10-AGO-17,"MONCLOVA","MC"
1,758786528,"4239321",327.16,"C",4892,10-FEB-16,15.67,31-MAY-17,"MONCLOVA","MC"
1,727553761,"4230458",510.03,"D",179,09-FEB-16,16.73,01-JUL-17,"MONCLOVA","MC"
1,768085250,"4241601",547.95,"D",489,15-FEB-16,17.73,07-AGO-17,"MONCLOVA","MC"
1,742559008,"4235477",620.6,"C",1149,04-FEB-16,18.5,20-AGO-17,"FRONTERA","MC"
1,761107027,"4239938",362.68,"B",206,12-FEB-16,15.63,31-MAY-17,"MONCLOVA","MC"
1,760925943,"4239731",282.84,"D",1499,08-FEB-16,18.06,10-AGO-17,"MONCLOVA","MC"
1,742559882,"4235427",347.64,"D",753,06-FEB-16,15.8,31-MAY-17,"MONCLOVA","MC"
1,766916379,"4241179",384.44,"D",1813,13-FEB-16,17.79,07-AGO-17,"MONCLOVA","MC"
1,772728726,"4242305",528.85,"D",489,22-FEB-16,17.61,10-AGO-17,"MONCLOVA","MC"
1,784398283,"4245229",576.61,"C",3273,27-FEB-16,16.63,16-JUL-17,"MONCLOVA","MC"
1,784396737,"4245159",361.68,"C",3439,26-FEB-16,16.67,16-JUL-17,"MONCLOVA","MC"
1,765602773,"4240360",192.77,"C",1306,10-FEB-16,17.66,31-JUL-17,"MONCLOVA","MC"
1,775064721,"4242931",603.06,"C",3439,19-FEB-16,16.73,11-JUL-17,"MONCLOVA","MC"
1,792563333,"4247566",406.48,"D",876,04-MAR-16,17.5,20-AGO-17,"MONCLOVA","MC"
