CANCELED,ROW_WID,ACCNT_LOC,ARPU,SES,HOME_PASSED,CUST_SINCE_DT,MONTHS_AGE,CANCEL_DT,CITY,POP
1,688525490,4219649,529.89,C,3441,12/07/2015 18:05:47,19.77,07/31/2017 11:54:29,MONCLOVA,MC
1,694259818,4221404,234.13,D,1500,12/20/2016 17:49:43,5.67,06/10/2017 11:54:29,MONCLOVA,MC
1,701127287,4223645,240.81,C,863,01/11/2016 17:39:38,19.64,08/31/2017 11:54:29,MONCLOVA,MC
1,706876069,4225286,489.35,D,2089,12/28/2015 21:17:07,18.60,07/16/2017 11:54:29,FRONTERA,MC
1,691968784,4220854,160.09,D,755,12/17/2015 23:15:52,17.66,06/07/2017 11:54:29,MONCLOVA,MC
1,706875737,4225230,587.88,C,3441,01/04/2016 20:08:01,19.51,08/20/2017 11:54:29,MONCLOVA,MC
1,734477653,4232805,232.77,C,1307,01/26/2016 17:34:19,19.64,09/15/2017 11:54:29,MONCLOVA,MC
1,734478098,4232883,301.97,C,3277,02/04/2016 22:25:41,17.53,07/21/2017 11:54:29,MONCLOVA,MC
1,698830028,4222607,408.71,C,3441,02/09/2016 18:27:18,17.70,07/31/2017 11:54:29,MONCLOVA,MC
1,726405270,4230171,500.97,C,284,05/30/2016 17:16:20,12.51,06/15/2017 11:54:29,MONCLOVA,MC
1,716053257,4227277,552.62,C,3441,01/14/2016 23:50:06,19.76,09/07/2017 11:54:29,MONCLOVA,MC
1,726405377,4230069,726.20,D,179,01/13/2016 23:28:23,19.79,09/07/2017 11:54:29,MONCLOVA,MC
1,751837418,4238136,556.91,D,179,02/10/2016 17:07:43,18.67,08/31/2017 11:54:29,MONCLOVA,MC
1,764595535,4240440,357.82,D,2089,02/18/2016 00:58:14,16.47,07/01/2017 11:54:29,FRONTERA,MC
1,743725614,4235809,273.09,D,493,02/10/2016 19:03:51,17.67,07/31/2017 11:54:29,MONCLOVA,MC
