CUSTOMER_WID,TECHSUPPORT_NUM
307573144,12
307573660,4
307574572,5
307574599,3
307574651,10
307574698,6
307574699,6
307574863,11
307574867,1
307574899,1
307575011,4
307575034,5
307575169,1
307575286,9
307575313,4
307575339,6
307575381,9
307575394,13
307575488,5
307575513,39
307575520,1
307575528,2
307575580,6
307575596,4
307575613,3
307575639,4
307575693,1
307575700,2
307575713,3
307575788,2
307575800,6
307575824,4
307575859,8
307575970,6
307575985,1
307576064,1
307576073,6
307576079,1
307576089,27
307576100,1
307576148,3
307576176,1
307576197,2
307576233,27
307576289,3
307576311,6
307576317,6
307576405,2
307576471,7
307576553,6
307576557,4
307576602,1
307576614,3
307576651,2
307576653,3
307576664,2
307576709,1
307576720,1
307576763,9
307576836,9
307576838,4
307576863,1
307576905,1
307576943,9
307576965,5
307576997,5
307577030,1
307577057,6
307577062,20
307577064,2
307577101,2
307577105,8
307577128,5
307577148,4
307577218,11
307577231,6
307577247,10
307577248,9
307577249,16
307577261,15
307577296,2
307577297,3
307577382,15
307577420,4
307577435,12
307577446,3
307577564,3
307577615,8
307577639,3
307577648,1
307577649,7
307577656,12
307577688,4
307577690,1
307577691,5
307577700,2
307577762,2
307577776,8
307577804,16
307577807,40
307577847,4
307577855,4
307577873,3
307577903,9
307577909,12
307577913,15
307577963,7
307577977,4
307578019,8
307578129,5
307578147,3
307578161,11
307578191,3
307578196,5
307578239,10
307578294,1
307578312,6
307578344,5
307578354,12
307578355,10
307578368,10
307578430,1
307578502,9
307578522,1
307578523,2
307578528,3
307578547,1
307578558,9
307578598,15
307578611,2
307578621,14
307578635,3
307578643,3
307578672,2
307578683,3
307578745,5
307578755,2
307578762,32
307578763,23
307578773,3
307578808,31
307578810,1
307578844,2
307578845,30
307578868,15
307578945,9
307578962,6
307578963,4
307579041,2
307579131,5
307579143,2
307579183,1
307579197,1
307579227,26
307579242,2
307579246,38
307579264,2
307579337,20
307579345,7
307579468,22
307579537,2
307579540,23
307579587,1
307579609,3
307579610,5
307579637,2
307579681,23
307579727,2
307579770,1
307579779,24
307579822,2
307579850,18
307579856,15
307579952,23
307579999,16
307580032,49
307580091,5
307580096,21
307580107,10
307580108,1
307580166,36
307580172,3
307580251,8
307580279,1
307580321,10
307580432,8
307580444,11
307580474,1
307580545,15
307580563,2
307580621,49
307580630,3
307580696,12
307580745,16
307580780,5
307580814,4
307580845,3
307580884,30
307580885,3
307580895,12
307580910,28
307580953,23
307580957,14
307581031,16
307581055,4
307581057,1
307581091,8
307581146,5
307581147,5
307581153,7
307581217,1
307581229,6
307581257,12
307581266,6
307581333,6
307581351,18
307581371,11
307581427,2
307581492,19
307581521,10
307581528,7
307581546,7
307581578,4
307581580,2
307581694,12
307581725,1
307581749,3
307581775,9
307581797,1
307581834,18
307581850,1
307581851,3
307581875,1
307581879,4
307581886,8
307581913,21
307581925,10
307581927,1
307581945,1
307581947,11
307581964,15
307581980,1
307582056,1
307582091,1
307582093,26
307582097,12
307582108,10
307582185,2
307582211,1
307582215,6
307582229,12
307582263,22
307582264,1
307582279,33
307582302,2
307582353,3
307582369,2
307582379,5
307582381,1
307582382,8
307582385,2
307582394,10
307582402,6
307582454,25
307582456,1
307582470,11
307582493,26
307582574,4
307582595,67
307582627,13
307582629,1
307582630,2
307582746,18
307582791,1
307582843,5
307582903,2
307582929,2
307582982,3
307582995,13
307583039,13
307583069,1
307583122,11
307583164,3
307583192,7
307583211,2
307583234,1
307583260,2
307583261,4
307583396,1
307583467,10
307583501,53
307583518,3
307583522,6
307583571,1
307583578,22
307583599,1
307583641,6
307583673,10
307583697,1
307583731,2
307583749,1
307583809,1
307583817,20
307583877,11
307583907,7
307583909,2
307583922,5
307583949,3
307584007,18
307584017,4
307584020,12
307584094,17
307584123,10
307584202,1
307584249,1
307584325,20
307584394,9
307584404,7
307584458,1
307584496,4
307584512,1
307584517,18
307584575,1
307584653,3
307584667,1
307584714,2
307584739,1
307584830,1
307584836,3
307584886,4
307584893,1
307584895,3
307584903,3
307584935,1
307584936,10
307584959,9
307584974,4
307585003,4
307585018,2
307585054,11
307585057,26
307585168,1
307585189,23
307585222,2
307585275,3
307585399,5
307585508,13
307585514,34
307585531,1
307585660,8
