CUSTOMER_ID,CUST_SINCE_DATE,LEGACY_CUSTOMER_ID
23621135,12-08-17,
21999434,12-09-16,
22041967,21-09-16,9044121
23307865,09-06-17,9594297
23284106,05-06-17,9458982
21684898,20-07-16,
23538602,27-07-17,9643262
23617729,11-08-17,
21575727,30-06-16,
21710822,25-07-16,9364347
22158239,12-10-16,
21865328,20-08-16,9381649
21853291,18-08-16,9106151
21146158,06-04-16,
21818906,12-08-16,
22115771,04-10-16,
22227837,25-10-16,
21608049,06-07-16,
21297255,06-05-16,9067028
21905692,26-08-16,
21865128,20-08-16,
22940675,27-03-17,
22819561,28-02-17,
22572279,04-01-17,
22819606,28-02-17,
22281271,04-11-16,
22375389,22-11-16,
22099387,01-10-16,
22178721,15-10-16,9007323
21832611,15-08-16,
21321455,12-05-16,
22115913,04-10-16,
22701583,02-02-17,9257850
21948079,03-09-16,
22150732,11-10-16,
22532293,26-12-16,9028947
21863454,19-08-16,
22809512,27-02-17,9342976
23259551,31-05-17,
23261247,31-05-17,
21738019,29-07-16,9824095
21291226,05-05-16,9267740
22348970,17-11-16,
22022483,17-09-16,
21657923,15-07-16,9005597
22848178,07-03-17,
22802601,25-02-17,
21677411,19-07-16,
22802591,25-02-17,
21304950,09-05-16,
21257744,28-04-16,9016777
22786806,21-02-17,
21690695,21-07-16,
22849633,07-03-17,
22852215,07-03-17,
22849458,07-03-17,9129188
22852075,07-03-17,
21918564,29-08-16,
22150047,11-10-16,9472384
21205117,18-04-16,
22705174,03-02-17,
22261430,31-10-16,9059370
22614782,13-01-17,
21270347,02-05-16,
22815200,28-02-17,9542204
21794480,08-08-16,9464551
21753794,01-08-16,
22938806,27-03-17,9764194
21739381,29-07-16,
21540024,24-06-16,
22848574,07-03-17,
22901932,18-03-17,
22373112,22-11-16,4246206
21830378,15-08-16,9822919
21792444,08-08-16,
21855653,18-08-16,9760186
23266015,01-06-17,
23266299,01-06-17,
22701419,02-02-17,
22368426,21-11-16,
23259972,31-05-17,
23259051,31-05-17,
23306261,09-06-17,9080440
21683638,20-07-16,9370087
21298506,07-05-16,
22848157,07-03-17,
22230055,25-10-16,9551918
22849789,07-03-17,
21743888,30-07-16,
23308426,09-06-17,
22614001,13-01-17,
21357031,19-05-16,9772338
22802560,25-02-17,
22462063,09-12-16,
21947029,03-09-16,
22506807,19-12-16,
21498872,16-06-16,
22671106,26-01-17,
22340785,16-11-16,
22806286,25-02-17,
21804139,10-08-16,
22803147,25-02-17,9267751
22578096,05-01-17,
22806289,26-02-17,
21807125,10-08-16,
22190029,18-10-16,9095823
21710307,25-07-16,9054186
22407779,28-11-16,9576295
22805158,25-02-17,4239013
23398778,28-06-17,9240415
23397657,28-06-17,9561326
21172730,11-04-16,
21295086,06-05-16,
21144777,06-04-16,
22816971,28-02-17,9115076
21970153,07-09-16,9207262
22404570,28-11-16,9886574
22128966,06-10-16,
22096103,30-09-16,9613830
22304162,09-11-16,
22388262,24-11-16,
22443960,06-12-16,
22318334,11-11-16,
21775056,05-08-16,9163977
22339965,16-11-16,22247597
21276881,03-05-16,
22061277,24-09-16,
21875966,22-08-16,
21821107,13-08-16,
21901431,26-08-16,
20717671,12-01-16,
23295085,07-06-17,
21241419,25-04-16,
22576677,05-01-17,
23267984,01-06-17,9025006
22597097,09-01-17,
22017057,15-09-16,
22300573,08-11-16,9147434
21984502,09-09-16,
22604747,11-01-17,9598782
21899309,25-08-16,9056403
22790425,22-02-17,
21412566,31-05-16,
22075534,27-09-16,
21298914,07-05-16,
22655324,23-01-17,9209543
21464682,09-06-16,
21464744,09-06-16,
23261619,31-05-17,9760397
21696751,22-07-16,
21263856,29-04-16,
21451848,07-06-16,
21880622,23-08-16,
22851620,07-03-17,9541385
22487138,14-12-16,
21395437,27-05-16,
22269566,02-11-16,
21219044,21-04-16,
22147579,10-10-16,
21594815,04-07-16,
21193013,15-04-16,
22067750,26-09-16,
21168437,11-04-16,
21370564,23-05-16,4239109
22087796,29-09-16,9087586
22696060,01-02-17,
22147325,10-10-16,
22560012,02-01-17,
22829659,02-03-17,9009794
21654758,14-07-16,
21686325,20-07-16,
22038268,20-09-16,
22907862,20-03-17,
22831575,03-03-17,
22831801,03-03-17,
22832245,03-03-17,
22832386,03-03-17,
22395349,25-11-16,
21976330,08-09-16,
21568982,29-06-16,9033721
21165872,10-04-16,
22221133,24-10-16,9357657
21444953,06-06-16,9021140
22623315,16-01-17,
21600789,05-07-16,
22123296,05-10-16,9047344
22796404,23-02-17,9047167
21361034,20-05-16,
21480347,13-06-16,9150840
21395234,27-05-16,
22353235,18-11-16,9889900
21710749,25-07-16,
21216658,20-04-16,
21370993,23-05-16,
22576733,05-01-17,
21742565,30-07-16,
21965907,06-09-16,
22098716,01-10-16,
22440805,05-12-16,9542605
22418398,30-11-16,
22236282,26-10-16,
21430646,03-06-16,
22552033,29-12-16,9552845
22381124,23-11-16,
22728056,08-02-17,9081293
22939385,27-03-17,
22689422,31-01-17,
22333727,15-11-16,9211818
22927188,24-03-17,9344843
22398337,26-11-16,
21109428,29-03-16,9909270
21358071,19-05-16,9031052
22196348,19-10-16,
22619495,14-01-17,
22419158,30-11-16,
23316387,11-06-17,
23509683,21-07-17,
21686769,20-07-16,
21435070,04-06-16,
21659688,15-07-16,
22001930,13-09-16,
21667165,17-07-16,
21963982,06-09-16,
22095700,30-09-16,
22303907,09-11-16,
22096190,30-09-16,
21719202,26-07-16,
22473329,12-12-16,
21112845,30-03-16,
22899255,17-03-17,
21296738,06-05-16,
22503615,19-12-16,
22023330,17-09-16,4228990
21557572,27-06-16,
22461237,09-12-16,9047647
21282489,04-05-16,9685062
21942161,02-09-16,
21288101,05-05-16,
21924917,30-08-16,
21305679,09-05-16,
21325377,13-05-16,
22242168,27-10-16,
22278777,04-11-16,
23451887,10-07-17,
21925300,30-08-16,9056639
22453664,07-12-16,
22566932,03-01-17,4239486
22848780,07-03-17,
22290860,07-11-16,9015208
22496573,16-12-16,9747779
22706171,03-02-17,
21625455,09-07-16,9598542
22611272,12-01-17,9713679
21645284,13-07-16,
21602163,05-07-16,
21881332,23-08-16,9130111
21106843,29-03-16,
21638192,12-07-16,9023938
22610526,12-01-17,
22234018,26-10-16,
23418120,03-07-17,
22057505,23-09-16,9471881
22594379,09-01-17,
22689056,31-01-17,9081454
22095953,30-09-16,
22785859,21-02-17,
21436697,04-06-16,
22480440,13-12-16,
22718490,07-02-17,
22735639,10-02-17,
21132610,04-04-16,
22753750,14-02-17,9160822
21576699,30-06-16,
22165962,13-10-16,
21470043,10-06-16,
21389776,26-05-16,
22799062,24-02-17,
21491993,15-06-16,
22465020,09-12-16,9823566
22766680,17-02-17,9542762
22661719,24-01-17,
22248182,28-10-16,9838613
21419292,01-06-16,
22105549,03-10-16,
22655379,23-01-17,
21079423,22-03-16,
21178781,12-04-16,
22340329,16-11-16,
21126676,01-04-16,9762996
21442567,06-06-16,
21486981,14-06-16,
21718492,26-07-16,
21555717,27-06-16,9425212
22646691,20-01-17,
22902279,18-03-17,
21838065,16-08-16,
21508328,18-06-16,9059785
22377445,23-11-16,
22006123,13-09-16,
22036380,20-09-16,
22929111,24-03-17,9022031
22292617,07-11-16,
21803524,10-08-16,
21355352,19-05-16,
22121178,05-10-16,9151307
22209109,21-10-16,4224004
21703548,23-07-16,
21455321,08-06-16,
22917901,22-03-17,
22623320,16-01-17,
22435831,03-12-16,9343692
21489059,14-06-16,
21052592,16-03-16,
21663290,16-07-16,9058569
21079754,22-03-16,
21413385,31-05-16,9043979
21634932,11-07-16,
22227216,25-10-16,9033760
21270754,02-05-16,
21740702,29-07-16,
21937974,01-09-16,
21108006,29-03-16,9488997
22745710,13-02-17,
21646816,13-07-16,
23297814,07-06-17,9195281
23499484,19-07-17,9002799
22078919,27-09-16,
21275765,03-05-16,
22823350,01-03-17,
22829135,02-03-17,
23294950,07-06-17,
23296922,07-06-17,9068614
22211305,21-10-16,
22316009,11-11-16,
22828838,02-03-17,
22334387,15-11-16,
21687859,20-07-16,
21727415,27-07-16,
22197625,19-10-16,9043907
22626703,16-01-17,
22409708,29-11-16,
22859174,09-03-17,
21508357,18-06-16,9019155
21923708,30-08-16,9035675
22771352,18-02-17,
21399764,28-05-16,
21242322,26-04-16,9058517
22619300,14-01-17,
22489880,15-12-16,9088084
21512631,19-06-16,9374854
22748635,13-02-17,
22333847,15-11-16,
22581577,06-01-17,9559151
21359961,20-05-16,
22781680,21-02-17,
22150034,11-10-16,
21647781,13-07-16,9048957
23535654,26-07-17,
22821126,01-03-17,
22820916,01-03-17,
23297450,07-06-17,9014882
21995056,12-09-16,
22425780,01-12-16,9027851
21383252,25-05-16,9804398
21825734,13-08-16,
21191604,15-04-16,
21424923,02-06-16,
21963798,06-09-16,
22661691,24-01-17,
23505312,20-07-17,
22816856,28-02-17,9060166
23486250,17-07-17,
22412048,29-11-16,
21250725,27-04-16,
22146690,10-10-16,9096630
21080149,22-03-16,
22669013,26-01-17,4225099
22359151,19-11-16,
22444904,06-12-16,
21571743,29-06-16,
22757915,15-02-17,
21635291,11-07-16,9109307
21872890,22-08-16,
21867057,20-08-16,9912213
22755549,15-02-17,
22291447,07-11-16,
22150839,11-10-16,
21251576,27-04-16,
23264127,01-06-17,
22016651,15-09-16,
22917993,22-03-17,9246102
22920447,22-03-17,9672834
21592774,04-07-16,8443184246
22737746,10-02-17,9212941
22814162,28-02-17,
22202591,20-10-16,
22321311,12-11-16,9081296
22810858,27-02-17,9552407
23261060,31-05-17,9823117
23260519,31-05-17,
22814089,27-02-17,
23258374,31-05-17,
23258245,31-05-17,9165289
21599209,05-07-16,
21517108,20-06-16,9698275
22008724,14-09-16,
21432006,03-06-16,
22265666,01-11-16,
22449851,07-12-16,
21816099,12-08-16,9570905
22813532,27-02-17,
22815646,28-02-17,
22089365,29-09-16,9213238
23258281,31-05-17,9822943
23265652,01-06-17,
21062500,18-03-16,
21363896,20-05-16,9913215
21930440,31-08-16,
21277814,03-05-16,
21994850,12-09-16,
21583655,01-07-16,9206423
22388632,24-11-16,
23265376,01-06-17,9091666
22588943,07-01-17,
22284631,05-11-16,
21394871,27-05-16,9545912
22797145,23-02-17,
22463086,09-12-16,9469204
21516678,20-06-16,
22017040,15-09-16,9554659
22210303,21-10-16,
23267471,01-06-17,
22542847,28-12-16,9032668
22542983,28-12-16,9064588
22165657,13-10-16,9671503
22220450,24-10-16,
21394899,27-05-16,
21625234,09-07-16,9541642
22335029,15-11-16,
22447423,06-12-16,9707322
22898836,17-03-17,
22304391,09-11-16,
22459138,08-12-16,9143086
22438444,05-12-16,
22337301,15-11-16,
21516863,20-06-16,
23629705,14-08-17,
22753515,14-02-17,9452823
22600725,10-01-17,
21978987,08-09-16,9872962
22291727,07-11-16,9148201
21460387,09-06-16,
21184443,13-04-16,
22634323,18-01-17,9763142
22761941,16-02-17,9027674
21766768,03-08-16,9453934
21693799,21-07-16,
22655590,23-01-17,
23485747,17-07-17,
23489021,17-07-17,
22746434,13-02-17,
21381039,24-05-16,9047209
21779785,05-08-16,
21738115,29-07-16,
22045769,21-09-16,9545769
22658265,23-01-17,
21106215,29-03-16,
21519783,21-06-16,
22311075,10-11-16,
22433348,03-12-16,
22841260,06-03-17,
21865775,20-08-16,
22303678,09-11-16,9316730
21576902,30-06-16,9821318
22428940,02-12-16,
23434580,06-07-17,
23455250,10-07-17,4240659
21817921,12-08-16,9305808
