CUSTOMER_ID,CUST_SINCE_DATE,LEGACY_CUSTOMER_ID
21394514,27-05-16,
22088862,29-09-16,
22011298,14-09-16,
21454036,08-06-16,
22086489,29-09-16,
22035210,20-09-16,
21398411,27-05-16,
21895425,25-08-16,
22222824,24-10-16,
22507876,19-12-16,
22801501,24-02-17,
21086601,23-03-16,
21499638,16-06-16,
21394650,27-05-16,
21594020,04-07-16,9082559
21527363,22-06-16,
22304983,09-11-16,
22340406,16-11-16,
21298499,07-05-16,
21938399,01-09-16,
21480632,13-06-16,
21629601,10-07-16,
21245658,26-04-16,9835160
21839759,16-08-16,
22520128,22-12-16,
21153489,07-04-16,
21769357,04-08-16,
21738595,29-07-16,
21091148,24-03-16,
21456314,08-06-16,9092682
22118296,05-10-16,
21214661,20-04-16,
21216449,20-04-16,
22328175,14-11-16,
21544497,24-06-16,
22727388,08-02-17,
22197443,19-10-16,
21486576,14-06-16,
22442038,05-12-16,
22802976,25-02-17,9977720
21226163,22-04-16,
21908553,27-08-16,
22095968,30-09-16,
22513671,20-12-16,
21453922,08-06-16,
21839887,16-08-16,
21677086,19-07-16,
21064373,18-03-16,
21279622,03-05-16,
21548091,25-06-16,
22114378,04-10-16,
22803738,25-02-17,
21377327,24-05-16,
22008723,14-09-16,
21277408,03-05-16,
22128507,06-10-16,
21418216,01-06-16,
21742090,30-07-16,
21961957,06-09-16,
21352397,18-05-16,
21841210,16-08-16,
21684174,20-07-16,
21461040,09-06-16,
22382125,23-11-16,
21539684,24-06-16,9016991
21451139,07-06-16,
21377282,24-05-16,
21098824,28-03-16,
22132464,07-10-16,
21079298,22-03-16,
21535097,23-06-16,
21287861,05-05-16,
22279600,04-11-16,
21152676,07-04-16,
21078304,22-03-16,
21852366,18-08-16,
21226590,22-04-16,
21845599,17-08-16,
21771280,04-08-16,
21948446,03-09-16,
22344042,16-11-16,
21958080,05-09-16,
21409737,30-05-16,
21742901,30-07-16,9024861
21725940,27-07-16,4236804
21620201,08-07-16,
21365800,21-05-16,
21115581,30-03-16,
22299043,08-11-16,
21659281,15-07-16,
21437249,04-06-16,
21089789,24-03-16,
21542490,24-06-16,
21419380,01-06-16,
22416180,30-11-16,
21994224,12-09-16,
22764535,16-02-17,
21260526,29-04-16,
22735600,10-02-17,
21560951,28-06-16,
22710272,04-02-17,
21266694,30-04-16,969820
22319195,11-11-16,
22121468,05-10-16,
22214296,22-10-16,
21303208,09-05-16,
22257790,31-10-16,
21296170,06-05-16,9048091
22193259,18-10-16,
22104949,03-10-16,
22248330,28-10-16,
21256027,28-04-16,9850419
21352391,18-05-16,
21414942,31-05-16,
21615093,07-07-16,
21463428,09-06-16,
21399461,28-05-16,
21784336,06-08-16,
21515463,20-06-16,
21098901,28-03-16,
21498157,16-06-16,
21998380,12-09-16,
21153229,07-04-16,
21249672,27-04-16,
22823979,01-03-17,
21647436,13-07-16,
21981370,09-09-16,
21457393,08-06-16,9342591
21185844,14-04-16,9758508
21569724,29-06-16,
21599856,05-07-16,4239709
21862288,19-08-16,
21915483,29-08-16,9098662
22159141,12-10-16,
21294937,06-05-16,
22407063,28-11-16,
21282153,04-05-16,
21586712,02-07-16,
21519732,21-06-16,
21450435,07-06-16,9071627
19929141,10-08-15,
22104905,03-10-16,
21323517,12-05-16,
22718177,07-02-17,
21441525,06-06-16,
21520171,21-06-16,
21442048,06-06-16,9606663
21409528,30-05-16,
