CUSTOMER_ID,DUE_DATE,DEBT_DAYS_NUM
21270372,,
24224978,,
23495651,07-12-17,22
23691315,,
21638939,,
23800984,13-12-17,16
22968820,,
23264250,,
22980263,,
22310541,,
24162906,,
21156629,,
23076892,,
22095325,,
22341314,,
23459352,06-01-18,-8
23759917,30-11-17,29
24039688,,
22202454,19-05-17,224
22940261,,
22892872,13-01-18,-15
23498525,08-10-17,82
23506878,09-01-18,-11
22049103,10-10-17,80
23036838,06-12-17,23
23778408,11-12-17,18
21197261,08-05-17,235
23686532,13-11-17,46
23716431,01-11-17,58
23861213,19-10-17,71
23232367,,
22635613,11-05-17,232
23022564,09-01-18,-11
21149266,27-09-17,93
22192727,13-01-18,-15
21498997,05-02-17,327
24209202,,
23616942,05-01-18,-7
23957713,07-12-17,22
23507599,09-12-17,20
22298527,12-12-17,17
21354608,,
22198439,09-12-17,20
21859358,,
22480581,03-01-17,360
21546389,13-12-17,16
21289445,,
21812400,,
22373571,01-12-17,28
22188926,07-01-18,-9
23387800,,
21843052,06-01-18,-8
21873202,,
21756519,,
23867671,,
24180555,,
23385082,,
21937025,20-06-17,192
23706704,,
24105943,,
22473291,01-01-17,362
23655529,12-01-18,-14
24136555,13-01-18,-15
21799707,,
21087320,,
21448458,,
23025920,28-11-17,31
21928512,,
21847794,10-10-17,80
22755459,04-09-17,116
22270904,,
22766601,09-01-18,-11
21608216,,
22112514,,
21878585,,
21797972,,
22306973,,
21443118,,
21457756,,
21213005,28-11-16,396
22798590,,
21607548,27-09-17,93
21361498,,
21612767,,
23847237,16-10-17,74
23679985,12-12-17,17
22498991,09-12-17,20
21455303,,
21231594,,
23673831,13-01-18,-15
22573769,,
21383855,,
24072370,,
24091581,06-01-18,-8
21181953,,
21227889,,
23078475,,
21632016,30-12-17,-1
21444009,,
23368880,,
22157106,01-05-17,242
21578533,,
22159526,02-01-17,361
21838585,,
22258363,,
21424205,22-06-17,190
23522655,,
22134145,,
22320087,,
24253289,,
22160726,,
21704100,,
22146386,01-12-16,393
23281878,03-08-17,148
23132064,,
23094982,18-10-17,72
21769120,,
22318729,02-06-17,210
24200275,,
21298378,,
23214223,11-01-18,-13
22214094,10-08-17,141
21353949,07-09-16,478
22357651,12-12-17,17
21982446,04-01-18,-6
22213368,12-04-17,261
21765028,,
21225150,,
22275145,,
22845692,,
23903935,,
21724899,,
23903008,,
23721130,,
21677128,,
22557182,,
21416491,,
24267868,,
22104111,,
21158322,,
22006934,02-09-17,118
23122908,,
24255899,,
22990249,,
21770822,27-04-17,246
23989422,,
22695405,21-10-17,69
21815931,,
22305358,29-01-17,334
21724217,27-09-17,93
23867791,04-01-18,-6
23817674,13-01-18,-15
23764623,06-01-18,-8
21285184,,
22545133,,
22392334,28-12-16,366
22340707,05-01-18,-7
22488602,07-12-17,22
23258667,26-11-17,33
22190459,07-12-17,22
24217940,,
24134588,,
23873221,,
23176699,,
21895935,13-09-16,472
23499391,23-09-17,97
22646159,19-12-17,10
22084155,24-09-17,96
21955804,25-06-17,187
24209805,,
23762374,,
24209687,,
21247575,,
21291855,29-11-17,30
22076229,18-02-17,314
21601882,01-01-18,-3
22922624,11-11-17,48
22811809,09-06-17,203
22785801,12-12-17,17
23807817,,
24003509,,
24294737,,
21582430,,
23124027,,
23471720,02-12-17,27
55178378,02-05-17,241
21765726,,
21139407,,
21203595,,
21936980,21-10-16,434
21430419,,
21876705,,
23366136,12-09-17,108
21620030,,
21815925,04-12-17,25
22797101,,
23525769,16-11-17,43
23816676,08-01-18,-10
21139807,,
22001525,03-01-18,-5
24061264,,
24219590,,
22451969,,
21829540,03-10-17,87
24222252,,
21902405,,
22203168,,
21750287,,
21881780,,
21450528,,
21412221,,
21163609,02-11-17,57
21811568,,
21872038,,
23710209,,
22597167,01-03-17,303
22322230,02-12-17,27
22418520,,
21407119,,
24265353,,
24269373,,
21481186,,
22158403,,
21272736,,
23883699,,
22717638,27-04-17,246
22541783,,
21546677,,
24001840,,
21214855,,
22823204,,
21177338,,
22222965,13-12-17,16
22234463,,
23598272,,
23434610,02-10-17,88
21926471,,
22864529,02-06-17,210
23036004,06-09-17,114
22559741,06-12-17,23
24078308,02-01-18,-4
21816930,05-01-18,-7
23615207,01-12-17,28
23721714,,
24300447,,
23345869,08-12-17,21
24113129,05-01-18,-7
21284218,,
21261761,09-06-17,203
22850752,30-06-17,182
22848157,28-12-17,1
22570952,28-02-17,304
23774502,08-12-17,21
23352529,11-12-17,18
23977012,13-01-18,-15
22514611,16-06-17,196
24027070,,
22472068,,
23266961,01-12-17,28
23560624,27-09-17,93
22015073,05-05-17,238
22802299,27-08-17,124
22691201,,
23288196,25-12-17,4
23833445,13-01-18,-15
23693322,,
22841487,26-11-17,33
21842238,,
21359562,11-08-17,140
23154555,01-12-17,28
24280424,,
21525736,10-01-18,-12
21192130,09-12-17,20
23562744,,
21575087,19-08-16,497
21105365,,
21793222,29-12-17,0
22598601,11-09-17,109
22625263,07-09-17,113
21498297,10-08-16,506
21760102,,
23093121,,
21255124,,
22479982,08-11-17,51
21206495,,
22584783,,
21225025,13-07-17,169
21267739,,
22526360,,
22071414,,
22969536,26-05-17,217
21419150,,
22677726,,
22433798,,
22539264,17-02-17,315
21717130,15-04-17,258
