CUSTOMER_ID,CUST_SINCE_DATE,LEGACY_CUSTOMER_ID
21424846,02-06-16,
21277027,03-05-16,
21991419,10-09-16,
21691223,21-07-16,
21982788,09-09-16,
22748292,13-02-17,
21858722,19-08-16,
21504242,17-06-16,
21962494,06-09-16,9142848
22144599,10-10-16,
22810036,27-02-17,
22523735,22-12-16,
22610849,12-01-17,
22802245,24-02-17,
22848642,07-03-17,
21723282,27-07-16,
21759712,02-08-16,
22650015,21-01-17,
22814439,28-02-17,
22942914,27-03-17,
22109057,03-10-16,
22309858,10-11-16,
22850471,07-03-17,
21934583,31-08-16,
22849718,07-03-17,
21133184,04-04-16,
22810675,27-02-17,
22100583,01-10-16,
22083352,28-09-16,
22201255,20-10-16,
22144331,10-10-16,
21443572,06-06-16,9541650
21984672,09-09-16,
21348733,18-05-16,
21817097,12-08-16,
21942581,02-09-16,
21542232,24-06-16,
21984064,09-09-16,
21086188,23-03-16,
22899310,17-03-17,
22421766,01-12-16,
22496699,16-12-16,4219780
22850479,07-03-17,
22850574,07-03-17,
22438264,05-12-16,9825953
22490968,15-12-16,
21763801,03-08-16,9548234
21365108,21-05-16,9098399
21253383,27-04-16,9542436
21496349,15-06-16,
22833615,03-03-17,
22269154,02-11-16,
22349100,17-11-16,
22182910,17-10-16,
22658784,24-01-17,
22311185,10-11-16,
21295656,06-05-16,9274506
21575288,30-06-16,
22039600,20-09-16,
22016769,15-09-16,
21792130,08-08-16,
21309918,10-05-16,
22916425,22-03-17,
22545535,28-12-16,
21309972,10-05-16,
22381101,23-11-16,
22022455,17-09-16,
21691058,21-07-16,
21320461,12-05-16,
22505221,19-12-16,
21619978,08-07-16,
23294718,07-06-17,
22350378,17-11-16,
22182098,17-10-16,
22764673,16-02-17,
22628593,17-01-17,
22176406,15-10-16,
22029167,19-09-16,
22028509,19-09-16,
22251383,29-10-16,
22476729,13-12-16,
21338047,16-05-16,
21309758,10-05-16,
22318566,11-11-16,
22813994,27-02-17,
22056884,23-09-16,
22281609,04-11-16,
21897492,25-08-16,9130209
22235793,26-10-16,
22406617,28-11-16,
21432287,03-06-16,
21898502,25-08-16,
21321563,12-05-16,
23264100,01-06-17,
22786620,21-02-17,
22409488,29-11-16,
21467401,10-06-16,
21405992,30-05-16,
22334898,15-11-16,
21505100,17-06-16,
23405436,29-06-17,
22606908,11-01-17,
21128284,02-04-16,
22294223,07-11-16,
23578264,03-08-17,
21892983,24-08-16,
23317355,12-06-17,
21721704,26-07-16,
22410365,29-11-16,
22753111,14-02-17,
21861828,19-08-16,
